ProdMaterialCode,MaterialCode,MaterialName,Unit,Workshop
TA0093,1401902034,INNER BOX NAG 13/17,PC,GPS
TA0094,1401902036,INNER BOX NAG 2/3,PC,PSLB
TA0095,1401902030,INNER BOX NAG 3/5,PC,PSLB
TA0096,1401902031,INNER BOX NAG 5/7,PC,GPS
TA0097,1401902031,INNER BOX NAG 5/7,PC,PSLA
TA0098,1401902031,INNER BOX NAG 5/7,PC,PSLB
TA0099,1401902032,INNER BOX NAG 8/10,PC,PSLA
TA0100,1401902033,INNER BOX NAG 9/13,PC,GPS
TA0101,1201400006,INSULATING RESIN ( DBN519S),G,FPSA
TA0102,1201400010,ION TRAP- IXE-700F,G,GPS
TA0103,1401990096,JK WIPER 150S,PC,GPS
TA0104,1201201002,KBM 403,LITER,ANODIZE
TA0105,1401990098,MASK -3M,PC,POLYMER
TA0106,1201201001,METHANOL 99.8,LITER,ANODIZE
TA0107,1201500041,METHYL ISOBUTYL KETONE,LITER,PSLB
TA0108,1201500042,MOLDING LINER NE83G,PC,FPSB
TA0109,1405100009,MR-200,KG,PRESSING
TA0110,1401400028,NEEDLE MN-19G-13 (I),PC,PSLB
TA0111,1401400024,NEEDLE MN-22G-13(I),PC,PSLB
TA0112,1401400009,NEEDLE MN-25G-13 (I),PC,GPS
TA0113,1401400009,NEEDLE MN-25G-13 (I),PC,PSLA
TA0114,1401400017,NEEDLE MN-27G (I) FOR  WELDING,PC,FPSA
TA0115,1401400007,NEEDLE NM-22G-13*(2HD),PC,PSLB
TA0116,1401990095,NON-WOVEN  ROLL TS507,PC,GPS
TA0117,1201400009,OHM COAT ,G,GPS
TA0118,1201220010,OLFINE,LITER,POLYMER
TA0119,1401990015,PALM FIT GLOVE (L),PC,POLYMER
TA0120,1401990015,PALM FIT GLOVE (L),PC,PSLB
TA0121,1401990016,PALM FIT GLOVE (M),PC,POLYMER
TA0122,1401990016,PALM FIT GLOVE (M),PC,PSLB
TA0123,1401990017,PALM FIT GLOVE (S),PC,POLYMER
TA0124,1401990017,PALM FIT GLOVE (S),PC,PSLB
